,Buying,Maintanance,Doors,Persons,Lug_boot,Safety,Acceptability
254,3,1,3,4,0,2,1
255,3,1,3,4,1,0,0
256,3,1,3,4,1,1,0
257,3,1,3,4,1,2,1
258,3,1,3,4,2,0,0
259,3,1,3,4,2,1,1
260,3,1,3,4,2,2,1
261,3,1,3,6,0,0,0
262,3,1,3,6,0,1,0
263,3,1,3,6,0,2,1
264,3,1,3,6,1,0,0
265,3,1,3,6,1,1,1
266,3,1,3,6,1,2,1
267,3,1,3,6,2,0,0
268,3,1,3,6,2,1,1
269,3,1,3,6,2,2,1
270,3,1,4,2,0,0,0
271,3,1,4,2,0,1,0
272,3,1,4,2,0,2,0
273,3,1,4,2,1,0,0
274,3,1,4,2,1,1,0
275,3,1,4,2,1,2,0
276,3,1,4,2,2,0,0
277,3,1,4,2,2,1,0
278,3,1,4,2,2,2,0
279,3,1,4,4,0,0,0
280,3,1,4,4,0,1,0
281,3,1,4,4,0,2,1
282,3,1,4,4,1,0,0
283,3,1,4,4,1,1,1
284,3,1,4,4,1,2,1
285,3,1,4,4,2,0,0
286,3,1,4,4,2,1,1
287,3,1,4,4,2,2,1
288,3,1,4,6,0,0,0
289,3,1,4,6,0,1,0
290,3,1,4,6,0,2,1
291,3,1,4,6,1,0,0
292,3,1,4,6,1,1,1
293,3,1,4,6,1,2,1
294,3,1,4,6,2,0,0
295,3,1,4,6,2,1,1
296,3,1,4,6,2,2,1
297,3,1,5,2,0,0,0
298,3,1,5,2,0,1,0
299,3,1,5,2,0,2,0
300,3,1,5,2,1,0,0
301,3,1,5,2,1,1,0
302,3,1,5,2,1,2,0
303,3,1,5,2,2,0,0
304,3,1,5,2,2,1,0
305,3,1,5,2,2,2,0
306,3,1,5,4,0,0,0
307,3,1,5,4,0,1,0
308,3,1,5,4,0,2,1
309,3,1,5,4,1,0,0
310,3,1,5,4,1,1,1
311,3,1,5,4,1,2,1
312,3,1,5,4,2,0,0
313,3,1,5,4,2,1,1
314,3,1,5,4,2,2,1
315,3,1,5,6,0,0,0
316,3,1,5,6,0,1,0
317,3,1,5,6,0,2,1
318,3,1,5,6,1,0,0
319,3,1,5,6,1,1,1
320,3,1,5,6,1,2,1
321,3,1,5,6,2,0,0
322,3,1,5,6,2,1,1
323,3,1,5,6,2,2,1
324,3,0,2,2,0,0,0
325,3,0,2,2,0,1,0
326,3,0,2,2,0,2,0
327,3,0,2,2,1,0,0
328,3,0,2,2,1,1,0
329,3,0,2,2,1,2,0
330,3,0,2,2,2,0,0
331,3,0,2,2,2,1,0
332,3,0,2,2,2,2,0
333,3,0,2,4,0,0,0
334,3,0,2,4,0,1,0
335,3,0,2,4,0,2,1
336,3,0,2,4,1,0,0
337,3,0,2,4,1,1,0
338,3,0,2,4,1,2,1
339,3,0,2,4,2,0,0
340,3,0,2,4,2,1,1
341,3,0,2,4,2,2,1
342,3,0,2,6,0,0,0
343,3,0,2,6,0,1,0
344,3,0,2,6,0,2,0
345,3,0,2,6,1,0,0
346,3,0,2,6,1,1,0
347,3,0,2,6,1,2,1
348,3,0,2,6,2,0,0
349,3,0,2,6,2,1,1
350,3,0,2,6,2,2,1
351,3,0,3,2,0,0,0
352,3,0,3,2,0,1,0
353,3,0,3,2,0,2,0
354,3,0,3,2,1,0,0
355,3,0,3,2,1,1,0
356,3,0,3,2,1,2,0
357,3,0,3,2,2,0,0
358,3,0,3,2,2,1,0
359,3,0,3,2,2,2,0
360,3,0,3,4,0,0,0
361,3,0,3,4,0,1,0
362,3,0,3,4,0,2,1
363,3,0,3,4,1,0,0
364,3,0,3,4,1,1,0
365,3,0,3,4,1,2,1
366,3,0,3,4,2,0,0
367,3,0,3,4,2,1,1
368,3,0,3,4,2,2,1
369,3,0,3,6,0,0,0
370,3,0,3,6,0,1,0
371,3,0,3,6,0,2,1
372,3,0,3,6,1,0,0
373,3,0,3,6,1,1,1
374,3,0,3,6,1,2,1
375,3,0,3,6,2,0,0
376,3,0,3,6,2,1,1
377,3,0,3,6,2,2,1
378,3,0,4,2,0,0,0
379,3,0,4,2,0,1,0
380,3,0,4,2,0,2,0
381,3,0,4,2,1,0,0
382,3,0,4,2,1,1,0
383,3,0,4,2,1,2,0
384,3,0,4,2,2,0,0
385,3,0,4,2,2,1,0
386,3,0,4,2,2,2,0
387,3,0,4,4,0,0,0
388,3,0,4,4,0,1,0
389,3,0,4,4,0,2,1
390,3,0,4,4,1,0,0
391,3,0,4,4,1,1,1
392,3,0,4,4,1,2,1
393,3,0,4,4,2,0,0
394,3,0,4,4,2,1,1
395,3,0,4,4,2,2,1
396,3,0,4,6,0,0,0
397,3,0,4,6,0,1,0
398,3,0,4,6,0,2,1
399,3,0,4,6,1,0,0
400,3,0,4,6,1,1,1
401,3,0,4,6,1,2,1
402,3,0,4,6,2,0,0
403,3,0,4,6,2,1,1
404,3,0,4,6,2,2,1
405,3,0,5,2,0,0,0
406,3,0,5,2,0,1,0
407,3,0,5,2,0,2,0
408,3,0,5,2,1,0,0
409,3,0,5,2,1,1,0
410,3,0,5,2,1,2,0
411,3,0,5,2,2,0,0
412,3,0,5,2,2,1,0
413,3,0,5,2,2,2,0
414,3,0,5,4,0,0,0
415,3,0,5,4,0,1,0
416,3,0,5,4,0,2,1
417,3,0,5,4,1,0,0
418,3,0,5,4,1,1,1
419,3,0,5,4,1,2,1
420,3,0,5,4,2,0,0
421,3,0,5,4,2,1,1
422,3,0,5,4,2,2,1
423,3,0,5,6,0,0,0
424,3,0,5,6,0,1,0
425,3,0,5,6,0,2,1
426,3,0,5,6,1,0,0
427,3,0,5,6,1,1,1
428,3,0,5,6,1,2,1
429,3,0,5,6,2,0,0
430,3,0,5,6,2,1,1
431,3,0,5,6,2,2,1
432,2,3,2,2,0,0,0
433,2,3,2,2,0,1,0
434,2,3,2,2,0,2,0
435,2,3,2,2,1,0,0
436,2,3,2,2,1,1,0
437,2,3,2,2,1,2,0
438,2,3,2,2,2,0,0
439,2,3,2,2,2,1,0
440,2,3,2,2,2,2,0
441,2,3,2,4,0,0,0
442,2,3,2,4,0,1,0
443,2,3,2,4,0,2,0
444,2,3,2,4,1,0,0
445,2,3,2,4,1,1,0
446,2,3,2,4,1,2,0
447,2,3,2,4,2,0,0
448,2,3,2,4,2,1,0
449,2,3,2,4,2,2,0
450,2,3,2,6,0,0,0
451,2,3,2,6,0,1,0
452,2,3,2,6,0,2,0
453,2,3,2,6,1,0,0
454,2,3,2,6,1,1,0
455,2,3,2,6,1,2,0
456,2,3,2,6,2,0,0
457,2,3,2,6,2,1,0
458,2,3,2,6,2,2,0
459,2,3,3,2,0,0,0
460,2,3,3,2,0,1,0
461,2,3,3,2,0,2,0
462,2,3,3,2,1,0,0
463,2,3,3,2,1,1,0
464,2,3,3,2,1,2,0
465,2,3,3,2,2,0,0
466,2,3,3,2,2,1,0
467,2,3,3,2,2,2,0
468,2,3,3,4,0,0,0
469,2,3,3,4,0,1,0
470,2,3,3,4,0,2,0
471,2,3,3,4,1,0,0
472,2,3,3,4,1,1,0
473,2,3,3,4,1,2,0
474,2,3,3,4,2,0,0
475,2,3,3,4,2,1,0
476,2,3,3,4,2,2,0
477,2,3,3,6,0,0,0
478,2,3,3,6,0,1,0
479,2,3,3,6,0,2,0
480,2,3,3,6,1,0,0
481,2,3,3,6,1,1,0
482,2,3,3,6,1,2,0
483,2,3,3,6,2,0,0
484,2,3,3,6,2,1,0
485,2,3,3,6,2,2,0
486,2,3,4,2,0,0,0
487,2,3,4,2,0,1,0
488,2,3,4,2,0,2,0
489,2,3,4,2,1,0,0
490,2,3,4,2,1,1,0
491,2,3,4,2,1,2,0
492,2,3,4,2,2,0,0
493,2,3,4,2,2,1,0
494,2,3,4,2,2,2,0
495,2,3,4,4,0,0,0
496,2,3,4,4,0,1,0
497,2,3,4,4,0,2,0
498,2,3,4,4,1,0,0
499,2,3,4,4,1,1,0
500,2,3,4,4,1,2,0
501,2,3,4,4,2,0,0
502,2,3,4,4,2,1,0
503,2,3,4,4,2,2,0
504,2,3,4,6,0,0,0
505,2,3,4,6,0,1,0
506,2,3,4,6,0,2,0
507,2,3,4,6,1,0,0
508,2,3,4,6,1,1,0
509,2,3,4,6,1,2,0
510,2,3,4,6,2,0,0
511,2,3,4,6,2,1,0
512,2,3,4,6,2,2,0
513,2,3,5,2,0,0,0
514,2,3,5,2,0,1,0
515,2,3,5,2,0,2,0
516,2,3,5,2,1,0,0
517,2,3,5,2,1,1,0
518,2,3,5,2,1,2,0
519,2,3,5,2,2,0,0
520,2,3,5,2,2,1,0
521,2,3,5,2,2,2,0
522,2,3,5,4,0,0,0
523,2,3,5,4,0,1,0
524,2,3,5,4,0,2,0
525,2,3,5,4,1,0,0
526,2,3,5,4,1,1,0
527,2,3,5,4,1,2,0
528,2,3,5,4,2,0,0
529,2,3,5,4,2,1,0
530,2,3,5,4,2,2,0
531,2,3,5,6,0,0,0
532,2,3,5,6,0,1,0
533,2,3,5,6,0,2,0
534,2,3,5,6,1,0,0
535,2,3,5,6,1,1,0
536,2,3,5,6,1,2,0
537,2,3,5,6,2,0,0
538,2,3,5,6,2,1,0
539,2,3,5,6,2,2,0
540,2,2,2,2,0,0,0
541,2,2,2,2,0,1,0
542,2,2,2,2,0,2,0
543,2,2,2,2,1,0,0
544,2,2,2,2,1,1,0
545,2,2,2,2,1,2,0
546,2,2,2,2,2,0,0
547,2,2,2,2,2,1,0
548,2,2,2,2,2,2,0
549,2,2,2,4,0,0,0
550,2,2,2,4,0,1,0
551,2,2,2,4,0,2,1
552,2,2,2,4,1,0,0
553,2,2,2,4,1,1,0
554,2,2,2,4,1,2,1
555,2,2,2,4,2,0,0
556,2,2,2,4,2,1,1
557,2,2,2,4,2,2,1
558,2,2,2,6,0,0,0
559,2,2,2,6,0,1,0
560,2,2,2,6,0,2,0
561,2,2,2,6,1,0,0
562,2,2,2,6,1,1,0
563,2,2,2,6,1,2,1
564,2,2,2,6,2,0,0
565,2,2,2,6,2,1,1
566,2,2,2,6,2,2,1
567,2,2,3,2,0,0,0
568,2,2,3,2,0,1,0
569,2,2,3,2,0,2,0
570,2,2,3,2,1,0,0
571,2,2,3,2,1,1,0
572,2,2,3,2,1,2,0
573,2,2,3,2,2,0,0
574,2,2,3,2,2,1,0
575,2,2,3,2,2,2,0
576,2,2,3,4,0,0,0
577,2,2,3,4,0,1,0
578,2,2,3,4,0,2,1
579,2,2,3,4,1,0,0
580,2,2,3,4,1,1,0
581,2,2,3,4,1,2,1
582,2,2,3,4,2,0,0
583,2,2,3,4,2,1,1
584,2,2,3,4,2,2,1
585,2,2,3,6,0,0,0
586,2,2,3,6,0,1,0
587,2,2,3,6,0,2,1
588,2,2,3,6,1,0,0
589,2,2,3,6,1,1,1
590,2,2,3,6,1,2,1
591,2,2,3,6,2,0,0
592,2,2,3,6,2,1,1
593,2,2,3,6,2,2,1
594,2,2,4,2,0,0,0
595,2,2,4,2,0,1,0
596,2,2,4,2,0,2,0
597,2,2,4,2,1,0,0
598,2,2,4,2,1,1,0
599,2,2,4,2,1,2,0
600,2,2,4,2,2,0,0
601,2,2,4,2,2,1,0
602,2,2,4,2,2,2,0
603,2,2,4,4,0,0,0
604,2,2,4,4,0,1,0
605,2,2,4,4,0,2,1
606,2,2,4,4,1,0,0
607,2,2,4,4,1,1,1
608,2,2,4,4,1,2,1
609,2,2,4,4,2,0,0
610,2,2,4,4,2,1,1
611,2,2,4,4,2,2,1
612,2,2,4,6,0,0,0
613,2,2,4,6,0,1,0
614,2,2,4,6,0,2,1
615,2,2,4,6,1,0,0
616,2,2,4,6,1,1,1
617,2,2,4,6,1,2,1
618,2,2,4,6,2,0,0
619,2,2,4,6,2,1,1
620,2,2,4,6,2,2,1
621,2,2,5,2,0,0,0
622,2,2,5,2,0,1,0
623,2,2,5,2,0,2,0
624,2,2,5,2,1,0,0
625,2,2,5,2,1,1,0
626,2,2,5,2,1,2,0
627,2,2,5,2,2,0,0
628,2,2,5,2,2,1,0
629,2,2,5,2,2,2,0
630,2,2,5,4,0,0,0
631,2,2,5,4,0,1,0
632,2,2,5,4,0,2,1
633,2,2,5,4,1,0,0
634,2,2,5,4,1,1,1
635,2,2,5,4,1,2,1
636,2,2,5,4,2,0,0
637,2,2,5,4,2,1,1
638,2,2,5,4,2,2,1
639,2,2,5,6,0,0,0
640,2,2,5,6,0,1,0
641,2,2,5,6,0,2,1
642,2,2,5,6,1,0,0
643,2,2,5,6,1,1,1
644,2,2,5,6,1,2,1
645,2,2,5,6,2,0,0
646,2,2,5,6,2,1,1
647,2,2,5,6,2,2,1
648,2,1,2,2,0,0,0
649,2,1,2,2,0,1,0
650,2,1,2,2,0,2,0
651,2,1,2,2,1,0,0
652,2,1,2,2,1,1,0
653,2,1,2,2,1,2,0
654,2,1,2,2,2,0,0
655,2,1,2,2,2,1,0
656,2,1,2,2,2,2,0
657,2,1,2,4,0,0,0
658,2,1,2,4,0,1,0
659,2,1,2,4,0,2,1
660,2,1,2,4,1,0,0
661,2,1,2,4,1,1,0
662,2,1,2,4,1,2,1
663,2,1,2,4,2,0,0
664,2,1,2,4,2,1,1
665,2,1,2,4,2,2,1
666,2,1,2,6,0,0,0
667,2,1,2,6,0,1,0
668,2,1,2,6,0,2,0
669,2,1,2,6,1,0,0
670,2,1,2,6,1,1,0
671,2,1,2,6,1,2,1
672,2,1,2,6,2,0,0
673,2,1,2,6,2,1,1
674,2,1,2,6,2,2,1
675,2,1,3,2,0,0,0
676,2,1,3,2,0,1,0
677,2,1,3,2,0,2,0
678,2,1,3,2,1,0,0
679,2,1,3,2,1,1,0
680,2,1,3,2,1,2,0
681,2,1,3,2,2,0,0
682,2,1,3,2,2,1,0
683,2,1,3,2,2,2,0
684,2,1,3,4,0,0,0
685,2,1,3,4,0,1,0
686,2,1,3,4,0,2,1
687,2,1,3,4,1,0,0
688,2,1,3,4,1,1,0
689,2,1,3,4,1,2,1
690,2,1,3,4,2,0,0
691,2,1,3,4,2,1,1
692,2,1,3,4,2,2,1
693,2,1,3,6,0,0,0
694,2,1,3,6,0,1,0
695,2,1,3,6,0,2,1
696,2,1,3,6,1,0,0
697,2,1,3,6,1,1,1
698,2,1,3,6,1,2,1
699,2,1,3,6,2,0,0
700,2,1,3,6,2,1,1
701,2,1,3,6,2,2,1
702,2,1,4,2,0,0,0
703,2,1,4,2,0,1,0
704,2,1,4,2,0,2,0
705,2,1,4,2,1,0,0
706,2,1,4,2,1,1,0
707,2,1,4,2,1,2,0
708,2,1,4,2,2,0,0
709,2,1,4,2,2,1,0
710,2,1,4,2,2,2,0
711,2,1,4,4,0,0,0
712,2,1,4,4,0,1,0
713,2,1,4,4,0,2,1
714,2,1,4,4,1,0,0
715,2,1,4,4,1,1,1
716,2,1,4,4,1,2,1
717,2,1,4,4,2,0,0
718,2,1,4,4,2,1,1
719,2,1,4,4,2,2,1
720,2,1,4,6,0,0,0
721,2,1,4,6,0,1,0
722,2,1,4,6,0,2,1
723,2,1,4,6,1,0,0
724,2,1,4,6,1,1,1
725,2,1,4,6,1,2,1
726,2,1,4,6,2,0,0
727,2,1,4,6,2,1,1
728,2,1,4,6,2,2,1
729,2,1,5,2,0,0,0
730,2,1,5,2,0,1,0
731,2,1,5,2,0,2,0
732,2,1,5,2,1,0,0
733,2,1,5,2,1,1,0
734,2,1,5,2,1,2,0
735,2,1,5,2,2,0,0
736,2,1,5,2,2,1,0
737,2,1,5,2,2,2,0
738,2,1,5,4,0,0,0
739,2,1,5,4,0,1,0
740,2,1,5,4,0,2,1
741,2,1,5,4,1,0,0
742,2,1,5,4,1,1,1
743,2,1,5,4,1,2,1
744,2,1,5,4,2,0,0
745,2,1,5,4,2,1,1
746,2,1,5,4,2,2,1
747,2,1,5,6,0,0,0
748,2,1,5,6,0,1,0
749,2,1,5,6,0,2,1
750,2,1,5,6,1,0,0
751,2,1,5,6,1,1,1
752,2,1,5,6,1,2,1
753,2,1,5,6,2,0,0
754,2,1,5,6,2,1,1
755,2,1,5,6,2,2,1
756,2,0,2,2,0,0,0
757,2,0,2,2,0,1,0
758,2,0,2,2,0,2,0
759,2,0,2,2,1,0,0
760,2,0,2,2,1,1,0
761,2,0,2,2,1,2,0
762,2,0,2,2,2,0,0
763,2,0,2,2,2,1,0
764,2,0,2,2,2,2,0
765,2,0,2,4,0,0,0
766,2,0,2,4,0,1,0
767,2,0,2,4,0,2,1
768,2,0,2,4,1,0,0
769,2,0,2,4,1,1,0
770,2,0,2,4,1,2,1
771,2,0,2,4,2,0,0
772,2,0,2,4,2,1,1
773,2,0,2,4,2,2,1
774,2,0,2,6,0,0,0
775,2,0,2,6,0,1,0
776,2,0,2,6,0,2,0
777,2,0,2,6,1,0,0
778,2,0,2,6,1,1,0
779,2,0,2,6,1,2,1
780,2,0,2,6,2,0,0
781,2,0,2,6,2,1,1
782,2,0,2,6,2,2,1
783,2,0,3,2,0,0,0
784,2,0,3,2,0,1,0
785,2,0,3,2,0,2,0
786,2,0,3,2,1,0,0
787,2,0,3,2,1,1,0
788,2,0,3,2,1,2,0
789,2,0,3,2,2,0,0
790,2,0,3,2,2,1,0
791,2,0,3,2,2,2,0
792,2,0,3,4,0,0,0
793,2,0,3,4,0,1,0
794,2,0,3,4,0,2,1
795,2,0,3,4,1,0,0
796,2,0,3,4,1,1,0
797,2,0,3,4,1,2,1
798,2,0,3,4,2,0,0
799,2,0,3,4,2,1,1
800,2,0,3,4,2,2,1
801,2,0,3,6,0,0,0
802,2,0,3,6,0,1,0
803,2,0,3,6,0,2,1
804,2,0,3,6,1,0,0
805,2,0,3,6,1,1,1
806,2,0,3,6,1,2,1
807,2,0,3,6,2,0,0
808,2,0,3,6,2,1,1
809,2,0,3,6,2,2,1
810,2,0,4,2,0,0,0
811,2,0,4,2,0,1,0
812,2,0,4,2,0,2,0
813,2,0,4,2,1,0,0
814,2,0,4,2,1,1,0
815,2,0,4,2,1,2,0
816,2,0,4,2,2,0,0
817,2,0,4,2,2,1,0
818,2,0,4,2,2,2,0
819,2,0,4,4,0,0,0
820,2,0,4,4,0,1,0
821,2,0,4,4,0,2,1
822,2,0,4,4,1,0,0
823,2,0,4,4,1,1,1
824,2,0,4,4,1,2,1
825,2,0,4,4,2,0,0
826,2,0,4,4,2,1,1
827,2,0,4,4,2,2,1
828,2,0,4,6,0,0,0
829,2,0,4,6,0,1,0
830,2,0,4,6,0,2,1
831,2,0,4,6,1,0,0
832,2,0,4,6,1,1,1
833,2,0,4,6,1,2,1
834,2,0,4,6,2,0,0
835,2,0,4,6,2,1,1
836,2,0,4,6,2,2,1
837,2,0,5,2,0,0,0
838,2,0,5,2,0,1,0
839,2,0,5,2,0,2,0
840,2,0,5,2,1,0,0
841,2,0,5,2,1,1,0
842,2,0,5,2,1,2,0
843,2,0,5,2,2,0,0
844,2,0,5,2,2,1,0
845,2,0,5,2,2,2,0
846,2,0,5,4,0,0,0
847,2,0,5,4,0,1,0
848,2,0,5,4,0,2,1
849,2,0,5,4,1,0,0
850,2,0,5,4,1,1,1
851,2,0,5,4,1,2,1
852,2,0,5,4,2,0,0
853,2,0,5,4,2,1,1
854,2,0,5,4,2,2,1
855,2,0,5,6,0,0,0
856,2,0,5,6,0,1,0
857,2,0,5,6,0,2,1
858,2,0,5,6,1,0,0
859,2,0,5,6,1,1,1
860,2,0,5,6,1,2,1
861,2,0,5,6,2,0,0
862,2,0,5,6,2,1,1
863,2,0,5,6,2,2,1
864,1,3,2,2,0,0,0
865,1,3,2,2,0,1,0
866,1,3,2,2,0,2,0
867,1,3,2,2,1,0,0
868,1,3,2,2,1,1,0
869,1,3,2,2,1,2,0
